Event Type,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
Sabotaje,Casanare,Aguazul,,Infraestructura Eléctrica ,Guerrilla,Guerrilla-CGSB,,,"Boletín Informativo Justicia y Paz. Volumen 4, #3. PP. 36",5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Sabotaje,Casanare,Aguazul,,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #3,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Quema de Vehículos,Casanare,Aguazul,,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 5. Pp. 115,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Sabotaje,Casanare,Aguazul,Vereda El Retiro,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 23 Pp. 17,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Sabotaje,Casanare,Aguazul,Vereda Volcan Blanco,Infraestructura Eléctrica,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 25 Pp. 47,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Sabotaje,Casanare,Aguazul,Zona Rural,Infraestructura Energética (Oleoducto),Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 26 Pp. 80,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Sabotaje,Casanare,Aguazul,Zona Rural,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 27 Pp. 73,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Sabotaje,Casanare,Aguazul,Vereda Volcanera,Infraestructura Eléctrica,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 27 Pp. 75,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Sabotaje,Casanare,Aguazul,Zona Rural,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 28 Pp. 43,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Quema de Vehículos,Casanare,Aguazul,Vía hacia Yopal,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 30 Pp. 56,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Quema de Vehículos,Casanare,Aguazul,Vía hacia Yopal,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 30 Pp. 57,5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,,Infraestructura Empresarial,Guerrilla,Guerrilla-CGSB,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 84",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,Finca El Edén,Propiedad Rural,Guerrilla,Guerrilla No Identificada,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 84",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Quema de Vehículos,Cesar,Agustín Codazzi,,Medios de Transporte,Guerrilla,Guerrilla No Identificada,1,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 84",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Quema de Vehículos,Cesar,Agustín Codazzi,,Medios de Transporte,Guerrilla,Guerrilla-CGSB,1,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 85",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Quema de Vehículos,Cesar,Agustín Codazzi,Vía al municipio de San Diego-sitio Desastre,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 87",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Quema de Vehículos,Cesar,Agustín Codazzi,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Justicia y Paz Vol 5 #1,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Quema de Vehículos,Cesar,Agustín Codazzi,Vía Corregimiento Casacara,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz. Volumen 6, No 2. Abril  - Junio   1993. Pp 79",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,Zona Rural,Propiedad Rural,Guerrilla,Guerrilla-FARC, ,,Justicia y Paz Vol 7 #3,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Atentado,Cesar,Agustín Codazzi,,Infraestructura Empresarial,Guerrilla,Guerrilla-Sin Identificar,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 30",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Quema de Vehículos,Cesar,Agustín Codazzi,,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 32",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Quema de Vehículos,Cesar,Agustín Codazzi,Cabecera Municipal - Barrio Los Cafetales,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 35",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,Corregimiento de Casacara,Infraestructura Empresarial - Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 79,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Instituciones,Cesar,Agustín Codazzi,Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 80,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,Cabecera Municipal,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 80,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,Cabecera Municipal,Infraestructura Empresarial,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 80,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,Zona Rural,Propiedad Rural - Mercancías u objetos materiales,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 3. Pp. 122,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,Zona Rural,Propiedad Rural - Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 3. Pp. 122,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,Corregimiento Casacará,Propiedad Rural - Mercancías u objetos materiales,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 3. Pp. 122,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
Ataque a Propiedad,Cesar,Agustín Codazzi,Zona Rural,Mercancías u objetos materiales,Fuerza Pública,Ejército Nacional,,,Noche y Niebla # 4. Pp. 100,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
