Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo,Lat,Lon,Address
Accidente por MAP,ANTIOQUIA,VALDIVIA,VALDIVIA,2009,3,Accidente,5854,5,,Rural,1,7.29117,-75.39215,"Valdivia, Valdivia, Antioquia, Colombia"
Accidente por MAP,CORDOBA,PUERTO LIBERTADOR,PUERTO LIBERTADOR,2009,6,Accidente,23580,23,,Rural,1,7.887952,-75.670944,"Puerto Libertador, Puerto Libertador, Cordoba, Colombia"
Accidente por MAP,ARAUCA,FORTUL,FORTUL,2000,1,Accidente,81300,81,,Rural,1,6.794367,-71.7715489,"Fortul, Fortul, Arauca, Colombia"
Accidente por MAP,CESAR,CURUMANÍ,CURUMANÍ,2009,2,Accidente,20228,20,,Rural,1,9.201062,-73.5425659,"Curumaní, Curumaní, Cesar, Colombia"
Accidente por MAP,META,EL CASTILLO,EL CASTILLO,2008,9,Accidente,50251,50,,Rural,1,3.564252,-73.794394,"El Castillo, El Castillo, Meta, Colombia"
Accidente por MAP,VALLE DEL CAUCA,FLORIDA,FLORIDA,2008,8,Accidente,76275,76,,Rural,1,3.3213339,-76.235361,"Florida, Florida, Valle del Cauca, Colombia"
Accidente por MAP,TOLIMA,PLANADAS,PLANADAS,2008,9,Accidente,73555,73,,Rural,1,3.197241,-75.643817,"Planadas, Planadas, Tolima, Colombia"
Accidente por MUSE,CAQUETA,MONTAÑITA,LA MONTAÑITA,2008,2,Accidente,18410,18,,Rural,1,1.47888,-75.43724,"La Montanita, La Montañita, Caquetá, Colombia"
Accidente por MAP,CORDOBA,TIERRALTA,,2008,2,Accidente,23807,23,,Rural,1,8.171571,-76.062313,"Tierralta, Tierralta, Córdoba, Colombia"
Accidente por MAP,BOLIVAR,SIMITÍ,SIMITÍ,2008,9,Accidente,13744,13,Cerros,Rural,1,7.957151,-73.946404,"Simití, Simití, Bolivar, Colombia"
