Event Date,Number of Victims,State,City,Location,Authorship,Source,Lat,Lon,Address
1996-09-10,4,Antioquia,Antioquia,Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 1 Pp. 52,5.79434,-74.6623,"Antioquia, Sonsón, Antioquia, Colombia"
1996-12-09,4,Antioquia,Antioquia,Corregimiento Guasabra,Grupos Paramilitares,Noche y Niebla # 2 Pp.  110 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,5.79434,-74.6623,"Antioquia, Sonsón, Antioquia, Colombia"
2000-03-12,4,Antioquia,Antioquia,"Vía a Olaya, Sopetrán y Liborina",Grupos Paramilitares,Noche y Niebla # 15 Pp. 154-155,5.79434,-74.6623,"Antioquia, Sonsón, Antioquia, Colombia"
1996-08-23,10,Antioquia,Anza,"Veredas La Cueva, La Lomita y La Cordillera",Grupos Paramilitares,Noche y Niebla # 1 Pp. 34 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,6.301106,-75.853255,"Anzá, Anza, Antioquia, Colombia"
1995-02-05,5,Tolima,Anzoategui,Vereda El Puerto,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 1 Pp. 63 ,4.632261,-75.093849,"Anzoátegui Municipality, Anzoátegui, Tolima, Colombia"
1983-08-16,4,Antioquia,Apartado,IPD San José de Apartadó-Vereda Buenos Aires,Grupos Paramilitares,"Enterrar y Callar Pp. 20 EL TIEMPO, 17 de agosto de 1983, p. 3A; CPDH",7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1987-09-19,4,Antioquia,Apartado,Cabecera Municipal,Grupos Paramilitares,Enterrar y Callar Pp. 20 El Tiempo 20/09/1987,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1990-05-18,6,Antioquia,Apartado,Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 Pp.59 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 54,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1990-12-04,6,Antioquia,Apartado,Cabecera Municipal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 4 Pp. 60,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1992-10-16,5,Antioquia,Apartado,Cabecera Municipal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 5 No 4 Pp. 17    ,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1992-10-17,6,Antioquia,Apartado,Cabecera Municipal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 5 No 4 Pp. 17  El Tiempo 18 de Octubre de 1992 Pág. 15,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1993-02-03,4,Antioquia,Apartado,Finca La Popala,Guerrilla-EPL ,Boletín Informativo Justicia y Paz Vol. 6 No 1 Enterrar y Callar Vol. 2 Pp. 21,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1993-11-22,5,Antioquia,Apartado,IP Churidó,Guerrilla Conjunta-FARC y EPL,Boletín Informativo Justicia y Paz Vol. 6 No 4  Pp. 54 ,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1994-01-23,34,Antioquia,Apartado,Cabecera Municipal,Guerrilla-FARC ,Boletin Justicia y Paz Vol 7 No 1 Pp. 26,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1995-08-12,6,Antioquia,Apartado,Cabecera Municipal,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 3  Pp. 57,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1995-08-19,5,Antioquia,Apartado,Corregimiento Churidó,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 3 Pp. 60,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1995-09-20,25,Antioquia,Apartado,Sitio Bajo del Oso,Guerrilla-FARC ,Boletín Justicia y Paz Vol 8 No 3 Pp. 94-95,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1996-04-03,10,Antioquia,Apartado,Cabecera Municipal,Grupos Paramilitares,"Versión Libre Ever Veloza, alias ""HH"". Medellin, 31 de Octubre de 2007 Audiencia de Imputación Ever Veloza García, alias ""HH"", 25 de Julio de 2008",7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1996-05-12,4,Antioquia,Apartado,IPD San José de Apartado-Vereda Los Mandarinos,Grupos Paramilitares,"Boletín Justicia y Paz Vol 9 No 2 Pp. 45 Versión Libre Ever Veloza, alias ""HH"". Medellin, 27 de Noviembre de 2007",7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1996-09-07,4,Antioquia,Apartado,IPD San José de Apartado,Fuerza Pública-Ejército Nacional,Noche y Niebla # 1 Pp. 52 Fusil o Toga. Toga y Fusil. El Estado contra la comunidad de paz de San José de Apartado Pp. 25 ,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
