Event Date,Event Type,Day,Month,Year,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
1994-10-30,Sabotaje,30,10,1994,Santander,Rionegro,ID San Rafael,Infraestructura Energética (Oleoductos),Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #4,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1995-02-10,Quema de Vehículos,10,2,1995,Santander,Rionegro,Sitio El Cero,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 84",7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1996-09-05,Quema de Vehículos,5,9,1996,Santander,Rionegro,,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 1. Pp. 76,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1996-09-09,Quema de Vehículos,9,9,1996,Santander,Rionegro,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 1. Pp. 77,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1996-09-15,Quema de Vehículos,15,9,1996,Santander,Rionegro,,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 79,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1997-05-04,Quema de Vehículos,4,5,1997,Santander,Rionegro,Zona Rural,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 4. Pp. 117,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1997-07-01,Sabotaje,1,7,1997,Antioquia,Rionegro,,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 5. Pp. 101,6.144837,-75.375085,"Rionegro, Rionegro, Antioquia, Colombia"
1997-09-20,Quema de Vehículos,20,9,1997,Santander,Rionegro,Sitio El Bambú,Medios de Transporte,Guerrilla,Guerrilla-FARC y ELN,,,Noche y Niebla # 5. Pp. 134,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1998-06-20,Sabotaje,20,6,1998,Santander,Rionegro,IP Cuesta Rica,Material Electoral,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 7 y 8. Pp. 147,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1998-12-12,Quema de Vehículos,12,12,1998,Santander,Rionegro,Vía a Bucaramanga - Sitio La Calera,Medios de Transporte,Guerrilla,Guerrilla-EPL,,,Noche y Niebla #10. Pp. 88,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
2000-06-24,Asesinato Selectivo,24,6,2000,Santander,Rionegro,Vereda Colorada-Finca Villa Nubia,Objetos o Mercancias,Guerrilla,Guerrilla-FARC, ,,Noche y Niebla # 16 Pp. 187,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
2001-10-20,Quema de Vehículos,20,10,2001,Santander,Rionegro,Sitio Los Bambúes,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 22 Pp. 26,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1988-10-27,Quema de Vehículos,27,10,1988,Caldas,Riosucio,,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,"Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42",5.4206839,-75.705388,"Riosucio, Riosucio, Caldas, Colombia"
1996-05-15,Quema de Vehículos,15,5,1996,Caldas,Riosucio,,Medios de Transporte,Guerrilla,Guerrilla-Sin Identificar,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 59",5.4206839,-75.705388,"Riosucio, Riosucio, Caldas, Colombia"
1997-01-10,Atentado,10,1,1997,Chocó,Riosucio,,Medios de Transporte,Fuerza Pública,Policía Nacional,,,Noche y Niebla # 3. Pp. 92,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
1997-07-15,Ataque a Propiedad,15,7,1997,Chocó,Riosucio,Vereda Mancilla ,Infraestructura Empresarial - Medios de Transporte - Mercancías u objetos materiales,Guerrilla,Guerrilla-FARC y ELN,,,Noche y Niebla # 5. Pp. 100,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
1997-12-17,Masacre,17,12,1997,Chocó,Riosucio,,Vivienda-Mercancia o objetos materiales,Grupos Paramilitares,Grupos Paramilitares,,,Noche y Niebla # 6 Pp. 126-127 En Deuda con la Humanidad. Paramilitarismo de EsTadó en Colombia 1988-2003,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
1998-05-09,Acciones Bélicas,9,5,1998,Caldas,Riosucio,Corregimiento San Lorenzo,Vivienda,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 7 y 8 Pp. 113,5.4206839,-75.705388,"Riosucio, Riosucio, Caldas, Colombia"
1998-08-02,Sabotaje,2,8,1998,Caldas,Riosucio,Vía a Corregimiento Bonafont,Infraestructura Eléctrica,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 9. Pp. 50,5.4206839,-75.705388,"Riosucio, Riosucio, Caldas, Colombia"
2001-01-15,Asesinato Selectivo,15,1,2001,Chocó,Riosucio,Vereda Pedeguita,Vivienda y Mercancias u Objetos Materiales,Grupos Paramilitares,Grupos Paramilitares,,,Noche y Niebla # 19 Pp. 51,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
2001-01-15,Asesinato Selectivo,15,1,2001,Chocó,Riosucio,Vereda Pedeguita- Comunidad de Paz Buenavista,Vivienda,Grupos Paramilitares,Grupos Paramilitares, ,,Noche y Niebla # 19 Pp. 51,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
2001-01-19,Asesinato Selectivo,19,1,2001,Chocó,Riosucio,Vereda Pedeguita- Comunidad de Paz Buenavista,Vivienda,Grupos Paramilitares,Grupos Paramilitares, ,,Noche y Niebla # 19 Pp. 59,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
2001-02-09,Quema de Vehículos,9,2,2001,Caldas,Riosucio,Vereda Llano Grande - Sitio El Ruby,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 19 Pp. 101,5.4206839,-75.705388,"Riosucio, Riosucio, Caldas, Colombia"
2001-05-17,Sabotaje,17,5,2001,Caldas,Riosucio,,Infraestructura Eléctrica,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 20 Pp. 129,5.4206839,-75.705388,"Riosucio, Riosucio, Caldas, Colombia"
2001-07-19,Quema de Vehículos,19,7,2001,Caldas,Riosucio,Sitio La Sierra,Medios de Transporte,Guerrilla,Guerrilla-EPL,,, Noche y Niebla # 21 Pp. 59,5.4206839,-75.705388,"Riosucio, Riosucio, Caldas, Colombia"
2001-12-02,Acciones Bélicas,2,12,2001,Caldas,Riosucio,Corregimiento San Lorenzo,Vivienda,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 22 Pp. 79,5.4206839,-75.705388,"Riosucio, Riosucio, Caldas, Colombia"
